,t1,t2,t3,t4,t5,t6,t8,t9,t7_0,t7_1,t7_2,t10_0,t10_1,t10_2,t11_0,t11_1,t11_2,t12_0,t12_1,t12_2,13_0,13_1,13_2,14_0,14_1,14_2,14_3,14_4,14_5,15_0,15_1,15_2,15_3,15_4
0,0,3,0,2,5,1,3,1,2,3,3,2,3,5,1,0,0,1,2,3,2,3,4,1,2,4,4,4,4,1,2,4,4,4
1,1,4,1,2,4,1,2,1,2,2,2,1,2,5,0,0,0,1,2,3,1,2,4,1,2,3,3,3,3,1,2,4,4,4
2,0,3,1,2,4,2,2,1,2,2,2,1,5,0,4,0,0,1,2,0,1,2,3,1,2,3,4,5,5,1,3,4,4,4
3,1,4,0,3,4,3,3,1,2,2,2,4,5,5,2,0,0,3,3,3,2,2,2,1,2,3,4,5,5,1,1,1,1,1
4,0,3,1,2,4,1,2,1,3,3,3,1,2,5,2,3,4,1,2,3,1,2,2,1,2,3,3,3,3,1,2,2,2,2
5,0,3,1,1,1,2,2,1,2,2,2,1,2,2,4,4,4,3,3,3,3,4,4,1,2,3,4,5,5,1,4,4,4,4
6,0,3,0,3,5,1,1,2,1,1,1,1,4,5,1,3,4,3,3,3,3,3,3,1,2,3,4,5,5,1,2,4,4,4
7,1,3,1,1,2,3,2,1,1,1,1,1,2,5,1,1,1,2,2,2,1,2,3,1,2,2,2,2,2,4,4,4,4,4
8,1,3,0,4,5,2,3,1,2,3,3,0,0,0,2,0,0,1,2,3,1,2,3,0,0,0,0,0,0,4,0,0,0,0
9,0,3,1,2,4,2,1,1,2,2,2,2,2,2,0,0,0,3,3,3,4,4,4,1,2,3,5,5,5,1,2,3,4,4
10,1,3,1,1,1,1,2,1,2,2,2,1,4,5,0,0,0,1,2,2,2,4,4,1,3,3,3,3,3,1,1,1,1,1
11,0,2,1,3,4,4,2,1,3,3,3,2,3,3,3,0,0,1,2,3,1,1,1,1,3,5,5,5,5,3,4,4,4,4
